Chemical_Name,Formula,RT,RI,RI Ref,CAS_Number,group,Similarity_to_Previous,Similarity_to_Next,MS_Peaks,File
Unknown 086(100) 59(56.6) 128(39.3),,14.045,1436.736,,000111-01-4,23,0.06936082425338497,0.0,"[(42, 107.0195), (43, 79.4744), (58, 56.4161), (59, 417.2988), (86, 999.0), (88, 445.0999), (96, 86.2151), (113, 181.1769), (115, 64.5114), (127, 424.3316), (128, 520.5869), (131, 76.2794), (155, 133.5849), (156, 131.0881), (159, 134.635), (301, 172.7988), (302, 24.3274), (303, 45.5587)]",GQC4-AllBestHits.cef
Unknown 073(100) 281(83.3) 147(59.4),,14.633,1478.703,,000111-00-8,24,0.0,0.005655214678403131,"[(73, 603.7306), (147, 536.73), (221, 114.8473), (281, 999.0), (282, 285.148), (283, 171.2479), (284, 35.978), (327, 362.0576), (328, 124.4596), (329, 84.1099), (341, 214.4873), (399, 113.7244), (400, 41.6832), (401, 31.4437), (415, 274.0019), (416, 127.2644), (417, 76.8871), (487, 9.587), (503, 204.9117), (504, 110.6048), (505, 68.4175), (506, 29.3506), (507, 13.6902)]",G5-AllBestHits.cef
Leucine,,14.865,1495.309,,000061-90-5,24,0.005655214678403131,0.9134436061027215,"[(41, 49.0232), (42, 49.3529), (43, 83.0343), (44, 26.2491), (55, 22.5018), (56, 21.0961), (57, 10.5453), (58, 63.3904), (59, 93.2483), (60, 8.2668), (68, 8.6605), (69, 48.3852), (70, 37.5509), (76, 28.3296), (83, 22.6198), (84, 8.7652), (88, 675.9541), (89, 24.3569), (96, 9.5574), (101, 30.6337), (102, 176.6088), (103, 28.4927), (112, 55.1771), (113, 19.7611), (114, 11.3732), (115, 106.2332), (128, 48.329), (129, 5.3653), (144, 999.0), (145, 81.3935), (146, 67.8995), (147, 19.2197), (171, 7.718), (359, 1.7617)]",G36-AllBestHits.cef
Isoleucine,,14.934,1500.229,,000111-04-0,24,0.9134436061027215,0.03937293435751754,"[(41, 61.6783), (42, 56.0793), (44, 22.8098), (54, 7.3256), (55, 17.7037), (56, 24.7667), (57, 41.9689), (59, 106.7834), (60, 10.6062), (68, 20.3072), (69, 124.9608), (70, 51.9341), (71, 17.0555), (76, 65.2448), (83, 40.4546), (87, 58.8984), (88, 470.6055), (89, 19.1606), (100, 9.515), (102, 34.9619), (103, 51.5331), (110, 5.9841), (112, 50.0988), (113, 7.9528), (115, 529.3082), (116, 34.9333), (128, 21.1484), (142, 11.4595), (144, 999.0), (145, 78.1378), (146, 95.3146), (147, 32.2361)]",G18-AllBestHits.cef
Unknown 160(100) 59(43.4) 116(22.7),,15.494,1542.766,,000111-03-0,25,0.03937293435751754,0.023162916312209014,"[(42, 87.2098), (56, 76.6449), (58, 42.0141), (59, 316.8976), (70, 122.3843), (72, 90.8897), (116, 194.1584), (160, 999.0), (161, 98.03)]",G25-AllBestHits.cef
Proline,,15.875,1571.707,,000147-85-3,25,0.023162916312209014,0.9989015690509148,"[(41, 33.9667), (42, 101.1573), (43, 10.4111), (44, 4.1846), (45, 3.4736), (53, 2.2808), (54, 3.3167), (55, 13.1333), (56, 6.0029), (59, 49.3543), (65, 1.1523), (67, 8.1348), (68, 17.9675), (69, 17.1866), (70, 5.3313), (82, 89.537), (83, 7.1635), (84, 38.9119), (85, 12.1117), (109, 8.6168), (112, 2.1522), (113, 0.9606), (126, 5.6054), (128, 999.0), (129, 72.9863), (130, 6.5087), (151, 8.9198), (156, 2.54), (187, 35.2172), (188, 3.4505)]",G25-AllBestHits.cef
Malic acid peak 2,C4H6O5,15.932,1576.004,,006915-15-7,26,0.015897599732221934,0.025755848765308675,"[(43, 183.1277), (44, 45.2768), (45, 55.292), (47, 140.8388), (55, 217.7137), (57, 294.4282), (58, 79.3314), (59, 786.5905), (60, 16.9742), (71, 42.9954), (72, 19.7351), (74, 125.9185), (75, 999.0), (85, 352.2205), (88, 33.0838), (89, 32.3477), (99, 77.2982), (101, 336.6201), (113, 685.0051), (114, 66.2779), (116, 39.7537), (117, 932.7692), (118, 54.4589), (145, 153.2395), (161, 73.2332), (188, 151.7032), (189, 54.0184)]",G25-AllBestHits.cef
Glutathione,,16.418,1613.221,,000070-18-8,27,0.025755848765308675,0.007282420844145765,"[(42, 26.3686), (45, 10.1331), (53, 4.3972), (55, 40.9347), (59, 49.5918), (67, 7.3574), (70, 72.8674), (82, 42.0066), (84, 9.2242), (110, 16.7501), (141, 0.5919), (142, 999.0), (143, 82.063), (144, 9.2155), (201, 12.428)]",G22-AllBestHits.cef
Threonine,,16.432,1614.29,,000072-19-5,28,0.007282420844145765,0.5891558142136372,"[(41, 7.5486), (42, 34.2441), (43, 23.6499), (44, 25.1721), (45, 41.5238), (56, 119.5129), (57, 23.5994), (59, 115.0588), (60, 25.3219), (70, 9.0706), (71, 14.6793), (72, 9.1406), (83, 70.6152), (84, 18.2599), (87, 119.2408), (88, 93.8406), (89, 5.199), (99, 5.156), (100, 263.3239), (112, 4.5965), (115, 999.0), (116, 67.9855), (132, 83.4441), (144, 15.0037), (147, 210.6532), (148, 11.8789)]",G25-AllBestHits.cef
Unknown 115(100) 118(95.4) 86(69.3),,16.573,1625.303,,000011-00-8,29,0.5891558142136372,0.24279399422471803,"[(42, 274.4502), (59, 401.7655), (86, 899.3488), (100, 270.1891), (115, 945.9692), (116, 68.9812), (118, 999.0), (146, 306.7243), (147, 388.8317)]",G25-AllBestHits.cef
